Date,Sediment - Fine_136106A_kilograms
2011-10-29,1095.76391911643
2011-10-30,1109.21105832177
2011-10-31,1179.22646058526
2011-11-01,1206.19316318813
2011-11-02,1200.15510040497
2011-11-03,1159.7079281488
2011-11-04,1137.63290678523
2011-11-05,1120.20798279119
2011-11-06,1095.05660252036
2011-11-07,1035.58670938442
2011-11-08,1000.03847376058
2011-11-09,995.833639377604
2011-11-10,964.76721320037
2011-11-11,933.258649985901
2011-11-12,903.72335830243
2011-11-13,870.97624701996
2011-11-14,845.607900329594
2011-11-15,831.619326169578
2011-11-16,820.41049361579
2011-11-17,814.496995746831
2011-11-18,820.876836399993
2011-11-19,817.942407343302
2011-11-20,822.78163628088
2011-11-21,822.782292051603
2011-11-22,825.796214792134
2011-11-23,833.039409942324
2011-11-24,836.799625646172
2011-11-25,840.146231916121
2011-11-26,837.58950230812
2011-11-27,825.233887185721
2011-11-28,792.831035063329
2011-11-29,759.7944660311
2011-11-30,717.698341416055
2011-12-01,684.163846273594
2011-12-02,661.938879711265
2011-12-03,626.74037914331
2011-12-04,609.294089430777
2011-12-05,615.484636616732
2011-12-06,1030.75176027432
2011-12-07,1644.09413951293
2011-12-08,2313.87310351391
2011-12-09,2572.66139253204
2011-12-10,2722.71803169016
2011-12-11,2844.70331629433
2011-12-12,3768.89953913255
2011-12-13,3994.21053566975
2011-12-14,4017.2763844515
2011-12-15,3855.51539918726
2011-12-16,3870.40429117777
2011-12-17,3762.38764071059
2011-12-18,3579.85499923856
2011-12-19,3294.42567006707
2011-12-20,2961.58354942829
2011-12-21,2666.4054899239
2011-12-22,2376.1489406444
2011-12-23,2105.43197589261
2011-12-24,1840.03174411388
2011-12-25,1636.69655509621
2011-12-26,1471.43840066807
2011-12-27,1314.02120342636
2011-12-28,1146.75059037518
2011-12-29,1049.42818487652
2011-12-30,1154.53386109708
2011-12-31,1041.7935406685
2012-01-01,995.133627614003
2012-01-02,951.166227917454
2012-01-03,889.21074067363
2012-01-04,784.827516946321
2012-01-05,702.177111014305
2012-01-06,644.261311495782
2012-01-07,572.30106948992
2012-01-08,509.598603458589
2012-01-09,449.506120350112
2012-01-10,401.802119882676
2012-01-11,354.719531793775
2012-01-12,340.470291567487
2012-01-13,313.965489430541
2012-01-14,276.433357539607
2012-01-15,256.256184651718
2012-01-16,228.381339251676
2012-01-17,224.6736506091
2012-01-18,217.96545233186
2012-01-19,205.976378198664
2012-01-20,193.21578336068
2012-01-21,183.141131584628
2012-01-22,165.267124358867
2012-01-23,151.092046954346
2012-01-24,155.323388378785
2012-01-25,181.456890077917
